Variable,Label
DP02_0083E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county
DP02_0111PEA,"Annotation of Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America"
DP02_0037MA,Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0131EA,Annotation of Estimate!!ANCESTRY!!Total population!!French (except Basque)
DP02_0082E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0139PE,Percent!!ANCESTRY!!Total population!!Norwegian
DP02_0085PMA,Annotation of Percent Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state
DP02_0033PEA,"Annotation of Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0126MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Arab
DP02_0081E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)
DP02_0080E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house
DP02_0024EA,Annotation of Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives
DP02_0144EA,Annotation of Estimate!!ANCESTRY!!Total population!!Scottish
DP02_0021PEA,Annotation of Percent!!RELATIONSHIP!!Population in households!!Unmarried partner
DP02_0006PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
DP02_0097PMA,Annotation of Percent Margin of Error!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen
DP02_0008PMA,"Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
DP02_0011MA,"Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0109EA,"Annotation of Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania"
DP02_0099EA,Annotation of Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native
DP02_0069PEA,Annotation of Percent!!VETERAN STATUS!!Civilian population 18 years and over
DP02_0130E,Estimate!!ANCESTRY!!Total population!!English
DP02_0024PE,Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives
DP02_0057PEA,Annotation of Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)
DP02_0068MA,Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
DP02_0070PEA,Annotation of Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
DP02_0131MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!French (except Basque)
DP02_0144PE,Percent!!ANCESTRY!!Total population!!Scottish
DP02_0011PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0086EA,Annotation of Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0045PEA,Annotation of Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
DP02_0033PMA,"Annotation of Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated"
DP02_0090PE,Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
DP02_0055EA,Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten
DP02_0089E,Estimate!!PLACE OF BIRTH!!Total population!!Native
DP02_0024MA,Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Other nonrelatives
DP02_0088E,Estimate!!PLACE OF BIRTH!!Total population
DP02_0037PE,Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0144MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Scottish
DP02_0021PMA,Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households!!Unmarried partner
DP02_0087E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad
DP02_0100PE,Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
DP02_0126PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Arab
DP02_0086E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0042EA,"Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0014PEA,Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0109MA,"Annotation of Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania"
DP02_0114E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English
DP02_0099MA,Annotation of Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Native
DP02_0007EA,"Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0128PEA,Annotation of Percent!!ANCESTRY!!Total population!!Danish
DP02_0113E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only
DP02_0060EA,Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
DP02_0026PEA,Annotation of Percent!!MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0138PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Lithuanian
DP02_0042PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0127EA,Annotation of Estimate!!ANCESTRY!!Total population!!Czech
DP02_0112E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over
DP02_0086MA,Annotation of Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0116PEA,Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish
DP02_0099PE,Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native
DP02_0111E,"Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America"
DP02_0131PE,Percent!!ANCESTRY!!Total population!!French (except Basque)
DP02_0068PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
DP02_0151PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)
DP02_0110E,"Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America"
DP02_0055MA,Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten
DP02_0091PMA,Annotation of Percent Margin of Error!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
DP02_0104PEA,Annotation of Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010
DP02_0073EA,Annotation of Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years
DP02_0002PMA,Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household
DP02_0038PEA,"Annotation of Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0042MA,"Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0055PE,Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten
DP02_0038EA,"Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0060MA,Annotation of Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
DP02_0014PMA,Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years
DP02_0101EA,Annotation of Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010
DP02_0075PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years
DP02_0091EA,Annotation of Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
DP02_0063PEA,"Annotation of Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
DP02_0026PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Never married
DP02_0007MA,"Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0073PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years
DP02_0087PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad
DP02_0127MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Czech
DP02_0025EA,Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over
DP02_0119E,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well"""
DP02_0051PEA,Annotation of Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female
DP02_0118E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages
DP02_0117E,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well"""
DP02_0109PE,"Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania"
DP02_0116E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish
DP02_0073MA,Annotation of Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years
DP02_0086PE,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state
DP02_0115E,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well"""
DP02_0114EA,Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English
DP02_0038PMA,"Annotation of Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0101MA,Annotation of Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010
DP02_0114PE,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English
DP02_0073E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years
DP02_0038MA,"Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0005PMA,Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years
DP02_0132EA,Annotation of Estimate!!ANCESTRY!!Total population!!French Canadian
DP02_0120PMA,Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages
DP02_0135PEA,Annotation of Percent!!ANCESTRY!!Total population!!Hungarian
DP02_0072E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
DP02_0078PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
DP02_0091PE,Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
DP02_0054PEA,"Annotation of Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
DP02_0071E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
DP02_0056EA,Annotation of Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)
DP02_0119PMA,"Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well"""
DP02_0147PEA,Annotation of Percent!!ANCESTRY!!Total population!!Swedish
DP02_0070E,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
DP02_0017PMA,Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0038PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)"
DP02_0025MA,Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over
DP02_0145EA,Annotation of Estimate!!ANCESTRY!!Total population!!Slovak
DP02_0107PMA,"Annotation of Percent Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia"
DP02_0042PMA,"Annotation of Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0060PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
DP02_0007PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0029PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0012EA,"Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
DP02_0030PMA,Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0091MA,Annotation of Margin of Error!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
DP02_0069EA,Annotation of Estimate!!VETERAN STATUS!!Civilian population 18 years and over
DP02_0127PE,Percent!!ANCESTRY!!Total population!!Czech
DP02_0114MA,Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English
DP02_0066PEA,Annotation of Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
DP02_0030EA,Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0132MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!French Canadian
DP02_0120PEA,Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages
DP02_0145PE,Percent!!ANCESTRY!!Total population!!Slovak
DP02_0012PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
DP02_0087EA,Annotation of Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad
DP02_0135PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Hungarian
DP02_0078PMA,Annotation of Percent Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
DP02_0119PEA,"Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well"""
DP02_0132PE,Percent!!ANCESTRY!!Total population!!French Canadian
DP02_0054PMA,"Annotation of Percent Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
DP02_0069PE,Percent!!VETERAN STATUS!!Civilian population 18 years and over
DP02_0079E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over
DP02_0056MA,Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)
DP02_0150EA,Annotation of Estimate!!ANCESTRY!!Total population!!Welsh
DP02_0147PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Swedish
DP02_0078E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
DP02_0145MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Slovak
DP02_0091PEA,Annotation of Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence
DP02_0107PEA,"Annotation of Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia"
DP02_0077E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over
DP02_0101PE,Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010
DP02_0076E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability
DP02_0043EA,"Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
DP02_0012MA,"Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone"
DP02_0002PEA,Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household
DP02_0075E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years
DP02_0025PE,Percent!!MARITAL STATUS!!Males 15 years and over
DP02_0069MA,Annotation of Margin of Error!!VETERAN STATUS!!Civilian population 18 years and over
DP02_0066PMA,Annotation of Percent Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
DP02_0074E,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability
DP02_0072PEA,Annotation of Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
DP02_0128EA,Annotation of Estimate!!ANCESTRY!!Total population!!Danish
DP02_0043PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old"
DP02_0023PMA,Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households!!Other relatives
DP02_0030MA,Annotation of Margin of Error!!MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0102E,Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born
DP02_0084PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county
DP02_0011PMA,"Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0149PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Ukrainian
DP02_0087MA,Annotation of Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad
DP02_0101E,Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010
